Sample_ID,short_ENA_accession,short_Genbank_accession,Year of Isolation,Month of Isolation,ST_Shortened,Collection,Source,Location,Province,ProvinceLocation,Province_Capital_Latitude,Province_Capital_Longitutde,Hospital,MIC_ESBL,ESBL,MIC_Ampicillin,Ampicillin,MIC_Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanic Acid,MIC_Piperacillin/Tazobactam,Piperacillin/Tazobactam,MIC_Cefalotin,Cefalotin,MIC_Cefoxitin,Cefoxitin,MIC_Ceftazidime,Ceftazidime,MIC_Ceftriaxone,Ceftriaxone,MIC_Cefepime,Cefepime,MIC_Imipenem,Imipenem,MIC_Meropenem,Meropenem,MIC_Amikacin,Amikacin,MIC_Gentamicin,Gentamicin,MIC_Ciprofloxacin,Ciprofloxacin,MIC_Tigecycline,Tigecycline,MIC_Nitrofurantoin,Nitrofurantoin,MIC_Trimethoprim/ Sulfamethoxazole,Trimethoprim/ Sulfamethoxazole
S48,ERR12205231,SAMN38154136,2022,2,ST14,MOH,BC,Sakaka,AlJawf,North,29.88333549,40.11210099,SHD,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,4,I,>= 16,R,4,S,<= 1,S,>= 4,R,2,S,256,R,>= 320,R
S42,ERR12178201,SAMN38154135,2022,2,ST14,MOH,BC,Sakaka,AlJawf,North,29.88333549,40.11210099,SHD,POS,+,>= 32,R,16,I,16,I,>= 64,R,<= 4,S,16,I,>= 64,R,2,S,<= 0.25,S,<= 0.25,S,8,*I,<= 1,S,2,R,1,S,32,S,<= 20,S
S126,ERR12178227,SAMN38154133,2022,10,ST14,MOH,BC,Sakaka,AlJawf,North,29.88333549,40.11210099,SHA,POS,+,>= 32,R,16,I,16,I,>= 64,R,<= 4,S,16,I,>= 64,R,2,S,<= 0.25,S,<= 0.25,S,8,*I,<= 1,S,2,R,1,S,64,I,<= 20,S
Q54,ERR12178203,SAMN38154102,2022,12,ST14,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
Q53,ERR12178268,SAMN38154101,2022,5,ST14,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,2,S,>= 4,R,>= 8,R,256,R,>= 320,R
Q38,ERR12178144,SAMN38154100,2022,8,ST14,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
Q136,ERR12055262,SAMN37449897,2022,9,ST1418,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHA,POS,+,>= 32,R,>= 32,R,>= 128,R,>= 64,R,<= 4,*R,16,*R,>= 64,R,8,*R,4,I,8,I,<= 2,S,<= 1,S,<= 0.25,S,<= 0.5,S,64,I,<= 20,S
JZ69,ERR12178157,SAMN38154050,2022,8,ST147,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,2,S,256,R,>= 320,R
JZ33,ERR12178143,SAMN38154044,2022,8,ST147,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,2,S,>= 512,R,>= 320,R
JZ21,ERR12178230,SAMN38154042,2022,7,ST147,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,2,S,256,R,>= 320,R
